HomeTeam,AwayTeam,FTHG,FTAG,HP,AP,Pdiff,HPOS,APOS,POSdiff,HW,AW,HD,AD,HL,AL,HTGS,ATGS,HTGC,ATGC,HTGD,ATGD,HTSF,ATSF,HTSTF,ATSTF,HTSC,ATSC,HTSTC,ATSTC,HPR,APR,HF5,AF5,HTHGS,ATAGS,HTHGC,ATAGC,HTHSF,ATASF,HTHSC,ATASC,HTHSTF,ATASTF,HTHSTC,ATASTC,HTHP,ATAP,HTHW,ATAW,HTHD,ATAD,HTHL,ATAL,avg_HGPG,avg_AGPG
Fulham,Crystal Palace,1,2,0.2,1.4,-6,20,14,6,0.0,0.4,0.0,0.4,0.8,0.4,0.8,1.2,2.4,1.6,-1.6,-0.4,12.0,6.4,3.8,2.0,11.8,13.8,5.8,4.6,0,0,0,6,0.0,1.2,2.4,2.0,8.4,7.2,10.0,12.0,2.0,2.0,4.4,4.0,0.0,1.2,0.0,0.4,0.0,0.0,0.8,0.4,1.6,1.94
Man United,Chelsea,0,0,1.4,1.6,-1,15,8,7,0.4,0.4,0.4,0.4,0.4,0.2,1.8,2.6,2.4,1.8,-0.6,0.8,13.4,13.0,5.4,5.8,13.4,11.4,4.6,3.6,3,3,6,7,0.8,2.4,3.6,1.6,7.2,12.8,14.4,8.8,2.4,6.0,5.2,2.4,0.0,1.6,0.0,0.4,0.0,0.4,0.8,0.0,1.588235294117647,1.9411764705882353
Liverpool,Sheffield United,2,1,2.0,0.2,9,3,18,-15,0.6,0.0,0.6,0.0,0.2,0.8,2.6,0.4,2.6,1.4,0.0,-1.0,19.4,8.6,7.2,3.0,8.8,13.4,5.0,5.2,0,0,9,0,2.8,0.4,1.6,1.2,17.2,4.0,4.0,9.6,5.6,1.2,2.4,2.8,2.4,0.0,0.8,0.0,0.0,0.0,0.0,0.8,1.5576923076923077,1.9038461538461537
Southampton,Everton,2,0,1.4,2.6,-6,12,1,11,0.4,0.8,0.4,0.8,0.4,0.0,1.6,2.8,1.8,1.4,-0.2,1.4,10.8,12.8,5.2,5.4,8.0,11.2,3.6,4.2,3,3,6,12,1.6,1.2,2.0,0.4,10.8,10.0,5.6,6.8,5.6,3.6,3.2,2.4,1.2,2.4,0.4,0.8,0.0,0.0,0.4,0.0,1.5660377358490567,1.8867924528301887
Wolves,Newcastle,1,1,1.8,1.4,2,6,13,-7,0.6,0.4,0.6,0.4,0.4,0.4,1.0,1.4,1.4,1.8,-0.4,-0.4,10.6,8.8,3.0,2.4,12.2,17.2,4.4,7.6,3,3,6,7,0.8,1.2,1.2,0.4,9.6,8.4,9.6,15.2,2.4,1.2,4.4,6.0,1.2,1.6,0.4,0.4,0.0,0.4,0.4,0.0,1.5740740740740742,1.8518518518518519
Arsenal,Leicester,0,1,1.8,1.8,0,5,4,1,0.6,0.6,0.6,0.6,0.4,0.4,1.6,2.4,1.2,1.6,0.4,0.8,8.2,9.8,4.0,5.0,11.8,12.6,4.0,4.2,3,0,9,9,1.6,3.2,0.8,0.8,5.2,8.0,8.0,9.2,3.2,5.6,2.0,2.4,2.4,2.4,0.8,0.8,0.0,0.0,0.0,0.0,1.5636363636363637,1.8363636363636364
Brighton,West Brom,1,1,0.8,0.4,2,16,17,-1,0.2,0.0,0.2,0.0,0.6,0.6,1.8,1.0,2.2,2.6,-0.4,-1.6,15.0,8.0,4.0,3.2,7.0,14.8,3.0,7.0,0,0,3,1,1.2,0.8,2.4,2.8,12.4,4.4,6.8,12.0,3.2,2.4,3.2,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,1.5357142857142858,1.8214285714285714
Burnley,Tottenham,0,1,0.2,1.6,-7,19,7,12,0.0,0.4,0.0,0.4,0.8,0.2,0.6,3.0,1.8,1.6,-1.2,1.4,11.0,14.8,3.6,7.4,10.2,10.6,4.2,3.6,1,3,1,7,0.0,4.4,0.4,1.2,4.0,12.4,2.0,7.6,0.8,5.6,0.4,3.6,0.0,2.4,0.0,0.8,0.0,0.0,0.4,0.0,1.5263157894736843,1.8070175438596492
Wolves,Crystal Palace,2,0,1.8,1.4,2,6,14,-8,0.6,0.4,0.6,0.4,0.4,0.4,1.0,1.2,1.4,1.6,-0.4,-0.4,10.6,6.4,3.0,2.0,12.2,13.8,4.4,4.6,3,0,6,6,1.2,2.0,1.6,2.4,16.0,12.8,11.6,18.4,3.6,6.0,5.2,5.2,1.6,2.4,0.4,0.8,0.4,0.0,0.4,0.4,1.5,1.793103448275862
Sheffield United,Man City,0,1,0.2,1.6,-7,18,9,9,0.0,0.4,0.0,0.4,0.8,0.2,0.4,1.6,1.4,1.6,-1.0,0.0,8.6,16.0,3.0,5.6,13.4,9.2,5.2,4.0,0,3,0,7,0.4,2.0,1.6,1.2,13.2,20.4,17.2,11.2,4.8,7.2,7.6,4.0,0.4,2.0,0.0,0.4,0.4,0.8,0.8,0.0,1.5084745762711864,1.7627118644067796
